termos de pesquisa orbit,,,,,,,,,,,,,,
Todo o período,,,,,,,,,,,,,,
Termo de pesquisa,Tipo de corresp.,Adicionada/excluída,Campanha,Grupo de anúncios,Cliques,Impr.,CTR,Código da moeda,CPC méd.,Custo,Tipo de campanha,Taxa de conv.,Conversões,Custo / conv.
epratico,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
modelo de analise swot,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
namtab,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
software planejamento estratégico gratuito,Correspondência exata,Adicionado,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
bpmn o que é,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
sistema para prefeituras,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,3,0%,BRL,0,0,Pesquisa,0%,0,0
pdca web,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
swot,Correspondência exata (variante aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
planilha controle de atendimento excel grátis,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,1,1,100%,BRL,"2,02","2,02",Pesquisa,0%,0,0
estrategia de negocio,Correspondência exata (variante aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
orbit,Correspondência exata (variante aproximada),Nenhum,[Rodrigo][Lead][Defesa da marca],Defesa da marca,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
swot analise,Correspondência exata (variante aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,1,4,25%,BRL,"5,4","5,4",Pesquisa,0%,0,0
gerenciamento produção,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
como fazer meu negócio crescer,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
caco mafra,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
gerenciador de metas,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,3,0%,BRL,0,0,Pesquisa,0%,0,0
orbit erp,Correspondência exata (variante aproximada),Nenhum,[Rodrigo][Lead][Defesa da marca],Defesa da marca,1,1,100%,BRL,"6,73","6,73",Pesquisa,0%,0,0
nomos app,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
hub inteligência e gestão,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
modelo de planejamento estrategico,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
5s saas,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
gerenciar,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
gestão organizacional,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
gestão de barbearia grátis,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
zaldi gestão,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,3,0%,BRL,0,0,Pesquisa,0%,0,0
kanban,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
criar uma planilha de controle de estoque,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
orbit templum,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Lead][Defesa da marca],Defesa da marca,1,5,20%,BRL,"2,03","2,03",Pesquisa,0%,0,0
magiic full,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
climb player,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
como administrar oficina mecanica,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
gestão com ia,Correspondência exata,Adicionado,[Rodrigo][Lead][Defesa da marca],Defesa da marca,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
estratégias de vendas para atrair clientes,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
planilha de controle de demandas gratuito,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
defina balance,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
sistema para ótica gratuito,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
sistema de planejamento estratégico,Correspondência exata,Adicionado,[Rodrigo][Search][Leads][Maio],01- Gestão,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
analise swot editavel,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
organizador de metas,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
estudo de mercado como fazer,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,1,1,100%,BRL,"4,74","4,74",Pesquisa,0%,0,0
planilha plano de negócios excel,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
easygestor gratuito,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
eos traction,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
x4plan,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
paragon com br,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
fluxograma b2b,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
ferramenta de gestão de processos,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,3,0%,BRL,0,0,Pesquisa,0%,0,0
plano de gestão pronto,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
zistemo,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
plano de marketing,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
indicador de liquidez,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
fmt softwares,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
organização fabrica,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
software planejamento estrategico,Correspondência exata (variante aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
matriz fofa para preencher,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
ferramentas de gestão,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
teste swot,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
gestão de estagiários,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,4,0%,BRL,0,0,Pesquisa,0%,0,0
estrategia de marketing,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
skywork slide,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
minha empresa,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
inventário almoxarifado,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
swot analise,Correspondência exata (variante aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
skywork,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
quírons,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
sistema erp gratuito,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
flowservices,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
blue focus,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
análise swot editável grátis,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
cadastro pcm,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
eagle system,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,3,0%,BRL,0,0,Pesquisa,0%,0,0
como fazer um marketing de uma empresa,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
skywork all in one,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
orbit,Correspondência ampla,Nenhum,[Rodrigo][Lead][Defesa da marca],Defesa da marca,0,13,0%,BRL,0,0,Pesquisa,0%,0,0
gestão life,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
software gestão ambiental gratuito,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
monday,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,3,0%,BRL,0,0,Pesquisa,0%,0,0
procfy,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
metas,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
planilha de produção de funcionarios,Correspondência ampla,Nenhum,[Rodrigo][Lead][Defesa da marca],Defesa da marca,1,2,50%,BRL,"2,56","2,56",Pesquisa,0%,0,0
metodos de administração,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
fourloop,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,4,0%,BRL,0,0,Pesquisa,0%,0,0
bpmn processos,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,3,0%,BRL,0,0,Pesquisa,0%,0,0
swot ia,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,1,1,100%,BRL,"1,98","1,98",Pesquisa,0%,0,0
zaldi gestão,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,3,0%,BRL,0,0,Pesquisa,0%,0,0
omie,Correspondência ampla,Nenhum,[Rodrigo][Lead][Defesa da marca],Defesa da marca,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
exemplo de análise swot pessoal,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
facil gestao,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
koncepto,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
análise swot exemplo,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
smartkanvas,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
konclui,Correspondência de frase (variação aproximada),Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,7,0%,BRL,0,0,Pesquisa,0%,0,0
gestão de processos e gestão por processos,Correspondência de frase,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,2,0%,BRL,0,0,Pesquisa,0%,0,0
redde consultoria,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
elevora,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],00- recomendação google,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
eugestor,Correspondência ampla,Nenhum,[Rodrigo][Search][Leads][Maio],01- Gestão,0,1,0%,BRL,0,0,Pesquisa,0%,0,0
